title;start;cm_EVRE;regipol;cm_COVID_coal_scen;cm_PPCA_pol;cm_PPCA_size;cm_PPCA_OECD;cm_PPCA_nonOECD;cm_GDPcovid;cm_startyear;cm_NPi_startyr;path_gdx;path_gdx_ref;path_gdx_bau;cm_earlyreti_rate;industry;cm_nash_autoconverge;cm_iteration_max;CES_parameters;cm_bioenergy_tax;cm_techcosts;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_POPscen;cm_GDPscen;cm_emiscen;cm_bioenergymaxscen;cm_fetaxscen;c_ccsinjecratescen;c_ccscapratescen;cm_ccsfosall;climate;optimization;c_testOneRegi_region;cm_nash_mode;cm_OILRETIRE;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_co2_tax_growth;c_SSP_forcing_adjust;cm_APscen;techpol;water;cm_cooling_shares;cm_multigasscen;cm_tradecost_bio;cm_1stgen_phaseout
PPCA_demand-OECD-3p-cfCHA52_4e4_distMean-Green;0;none;PPCAcoalExit;Green;demand;3p;on;off;1;2025;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-current-cfCHA52_4e4_distMean-Green;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-1p-cfCHA52_4e4_distMean-BAU;1;none;PPCAcoalExit;BAU;demand;1p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-1p-cfCHA52_4e4_distMean-BAU;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-2p-cfCHA52_4e4_distMean-BAU;1;none;PPCAcoalExit;BAU;demand;2p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-2p-cfCHA52_4e4_distMean-BAU;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-3p-cfCHA52_4e4_distMean-BAU;1;none;PPCAcoalExit;BAU;demand;3p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-3p-cfCHA52_4e4_distMean-BAU;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-1p-cfCHA52_4e4_distMean-Brown;0;none;PPCAcoalExit;Brown;demand;1p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-1p-cfCHA52_4e4_distMean-Brown;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-2p-cfCHA52_4e4_distMean-Brown;0;none;PPCAcoalExit;Brown;demand;2p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-2p-cfCHA52_4e4_distMean-Brown;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-3p-cfCHA52_4e4_distMean-Brown;0;none;PPCAcoalExit;Brown;demand;3p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-3p-cfCHA52_4e4_distMean-Brown;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-1p-cfCHA52_4e4_distMean-Green;0;none;PPCAcoalExit;Green;demand;1p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-1p-cfCHA52_4e4_distMean-Green;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-2p-cfCHA52_4e4_distMean-Green;0;none;PPCAcoalExit;Green;demand;2p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-2p-cfCHA52_4e4_distMean-Green;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-3p-cfCHA52_4e4_distMean-Green;0;none;PPCAcoalExit;Green;demand;3p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-3p-cfCHA52_4e4_distMean-Green;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-2pCHA-cfCHA52_4e4_distMean-BAU;1;none;PPCAcoalExit;BAU;demand;2p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-2p-cfCHA52_4e4_distMean-BAU;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-2pCHA-cfCHA52_4e4_distMean-Brown;0;none;PPCAcoalExit;Brown;demand;2p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-2p-cfCHA52_4e4_distMean-Brown;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
PPCA_demand-nonOECD-2pCHA-cfCHA52_4e4_distMean-Green;0;none;PPCAcoalExit;Green;demand;2p;on;on;1;2035;2025;./output/SSP2-PkBudg900-covid-feb22_2021-03-23_18.44.46/fulldata.gdx;PPCA_demand-OECD-2p-cfCHA52_4e4_distMean-Green;./output/SSP2-Base-rev979_2021-03-23_14.26.59/fulldata.gdx;0.09;fixed_shares;2;1;load;1.5;REG;rcp45;3;off;0;NPi2018;1;2100;3;pop_SSP2;gdp_SSP2;9;0;3;1;1;on;off;nash;;parallel;off;1;2;1;1.05;forcing_SSP2;SSP2;NPi2018;heat;dynamic;3;2;0
